date,year,month,quarter,department,cost_center,category,budget
2025-01-01,2025,1,Q1,Engineering,CC-1001,OPEX,57645.84
2025-02-01,2025,2,Q1,Engineering,CC-1001,OPEX,76023.68
2025-03-01,2025,3,Q1,Engineering,CC-1001,OPEX,63389.26
2023-01-01,2023,1,Q1,Engineering,CC-1001,Capex,101081.59
2023-02-01,2023,2,Q1,Engineering,CC-1001,Capex,66955.5
2023-03-01,2023,3,Q1,Engineering,CC-1001,Capex,102034.9
2023-04-01,2023,4,Q2,Engineering,CC-1001,Capex,60058.72
2023-05-01,2023,5,Q2,Engineering,CC-1001,Capex,67013.64
2023-06-01,2023,6,Q2,Engineering,CC-1001,Capex,84509.26
2023-07-01,2023,7,Q3,Engineering,CC-1001,Capex,34256.27
2023-08-01,2023,8,Q3,Engineering,CC-1001,Capex,124355.59
2023-09-01,2023,9,Q3,Engineering,CC-1001,Capex,147322.69
2023-10-01,2023,10,Q4,Engineering,CC-1001,Capex,97901.28
2023-11-01,2023,11,Q4,Engineering,CC-1001,Capex,50144.33
2023-12-01,2023,12,Q4,Engineering,CC-1001,Capex,27949.71
2024-01-01,2024,1,Q1,Engineering,CC-1001,Capex,113502.98
2024-02-01,2024,2,Q1,Engineering,CC-1001,Capex,32421.32
2024-03-01,2024,3,Q1,Engineering,CC-1001,Capex,45395.65
2024-04-01,2024,4,Q2,Engineering,CC-1001,Capex,102049.64
2024-05-01,2024,5,Q2,Engineering,CC-1001,Capex,111455.96
2024-06-01,2024,6,Q2,Engineering,CC-1001,Capex,125632.08
2024-07-01,2024,7,Q3,Engineering,CC-1001,Capex,20118.69
2024-08-01,2024,8,Q3,Engineering,CC-1001,Capex,33973.74
2024-09-01,2024,9,Q3,Engineering,CC-1001,Capex,30190.69
2024-10-01,2024,10,Q4,Engineering,CC-1001,Capex,145120.02
2024-11-01,2024,11,Q4,Engineering,CC-1001,Capex,127757.53
2024-12-01,2024,12,Q4,Engineering,CC-1001,Capex,52560.51
2025-01-01,2025,1,Q1,Engineering,CC-1001,Capex,147407.52
2025-02-01,2025,2,Q1,Engineering,CC-1001,Capex,56298.16
2025-03-01,2025,3,Q1,Engineering,CC-1001,Capex,24781.57
2023-01-01,2023,1,Q1,Engineering,CC-1001,T&E,9692.16
2023-02-01,2023,2,Q1,Engineering,CC-1001,T&E,36917.01
2023-03-01,2023,3,Q1,Engineering,CC-1001,T&E,12323.67
2023-04-01,2023,4,Q2,Engineering,CC-1001,T&E,30073.57
2023-05-01,2023,5,Q2,Engineering,CC-1001,T&E,55580.81
2023-06-01,2023,6,Q2,Engineering,CC-1001,T&E,21604.18
2023-07-01,2023,7,Q3,Engineering,CC-1001,T&E,12308.49
2023-08-01,2023,8,Q3,Engineering,CC-1001,T&E,7409.91
2023-09-01,2023,9,Q3,Engineering,CC-1001,T&E,5645.37
2023-10-01,2023,10,Q4,Engineering,CC-1001,T&E,3260.62
2023-11-01,2023,11,Q4,Engineering,CC-1001,T&E,40970.48
2023-12-01,2023,12,Q4,Engineering,CC-1001,T&E,6301.68
2024-01-01,2024,1,Q1,Engineering,CC-1001,T&E,15952.45
2024-02-01,2024,2,Q1,Engineering,CC-1001,T&E,18971.63
2024-03-01,2024,3,Q1,Engineering,CC-1001,T&E,14663.13
2024-04-01,2024,4,Q2,Engineering,CC-1001,T&E,32388.99
2024-05-01,2024,5,Q2,Engineering,CC-1001,T&E,4703.69
2024-06-01,2024,6,Q2,Engineering,CC-1001,T&E,8310.24
2024-07-01,2024,7,Q3,Engineering,CC-1001,T&E,8630.3
2024-08-01,2024,8,Q3,Engineering,CC-1001,T&E,9898.36
2024-09-01,2024,9,Q3,Engineering,CC-1001,T&E,5918.77
2024-10-01,2024,10,Q4,Engineering,CC-1001,T&E,7452.33
2024-11-01,2024,11,Q4,Engineering,CC-1001,T&E,23997.54
2024-12-01,2024,12,Q4,Engineering,CC-1001,T&E,16500.18
2025-01-01,2025,1,Q1,Engineering,CC-1001,T&E,31738.38
2025-02-01,2025,2,Q1,Engineering,CC-1001,T&E,39523.62
2025-03-01,2025,3,Q1,Engineering,CC-1001,T&E,9955.4
2023-01-01,2023,1,Q1,Engineering,CC-1001,Marketing Spend,245943.98
2023-02-01,2023,2,Q1,Engineering,CC-1001,Marketing Spend,212653.99
2023-03-01,2023,3,Q1,Engineering,CC-1001,Marketing Spend,127295.24
2023-04-01,2023,4,Q2,Engineering,CC-1001,Marketing Spend,90549.12
2023-05-01,2023,5,Q2,Engineering,CC-1001,Marketing Spend,62762.71
2023-06-01,2023,6,Q2,Engineering,CC-1001,Marketing Spend,235753.34
2023-07-01,2023,7,Q3,Engineering,CC-1001,Marketing Spend,283297.22
2023-08-01,2023,8,Q3,Engineering,CC-1001,Marketing Spend,68333.47
2023-09-01,2023,9,Q3,Engineering,CC-1001,Marketing Spend,144586.36
2023-10-01,2023,10,Q4,Engineering,CC-1001,Marketing Spend,57916.01
2023-11-01,2023,11,Q4,Engineering,CC-1001,Marketing Spend,196661.38
2023-12-01,2023,12,Q4,Engineering,CC-1001,Marketing Spend,335020.27
2024-01-01,2024,1,Q1,Engineering,CC-1001,Marketing Spend,236324.45
2024-02-01,2024,2,Q1,Engineering,CC-1001,Marketing Spend,294424.69
2024-03-01,2024,3,Q1,Engineering,CC-1001,Marketing Spend,169426.14
2024-04-01,2024,4,Q2,Engineering,CC-1001,Marketing Spend,65936.37
2024-05-01,2024,5,Q2,Engineering,CC-1001,Marketing Spend,139783.92
2024-06-01,2024,6,Q2,Engineering,CC-1001,Marketing Spend,80243.64
2024-07-01,2024,7,Q3,Engineering,CC-1001,Marketing Spend,100055.78
2024-08-01,2024,8,Q3,Engineering,CC-1001,Marketing Spend,132210.61
2024-09-01,2024,9,Q3,Engineering,CC-1001,Marketing Spend,183488.17
2024-10-01,2024,10,Q4,Engineering,CC-1001,Marketing Spend,73533.79
2024-11-01,2024,11,Q4,Engineering,CC-1001,Marketing Spend,234749.24
2024-12-01,2024,12,Q4,Engineering,CC-1001,Marketing Spend,263137.13
2025-01-01,2025,1,Q1,Engineering,CC-1001,Marketing Spend,272166.97
2025-02-01,2025,2,Q1,Engineering,CC-1001,Marketing Spend,49633.37
2025-03-01,2025,3,Q1,Engineering,CC-1001,Marketing Spend,239409.46
2023-01-01,2023,1,Q1,Engineering,CC-1001,Software,76438.18
2023-02-01,2023,2,Q1,Engineering,CC-1001,Software,58628.55
2023-03-01,2023,3,Q1,Engineering,CC-1001,Software,83142.0
2023-04-01,2023,4,Q2,Engineering,CC-1001,Software,33557.98
2023-05-01,2023,5,Q2,Engineering,CC-1001,Software,50858.9
2023-06-01,2023,6,Q2,Engineering,CC-1001,Software,64708.37
2023-07-01,2023,7,Q3,Engineering,CC-1001,Software,12108.43
2023-08-01,2023,8,Q3,Engineering,CC-1001,Software,33741.47
2023-09-01,2023,9,Q3,Engineering,CC-1001,Software,29756.47
2023-10-01,2023,10,Q4,Engineering,CC-1001,Software,28689.64
2023-11-01,2023,11,Q4,Engineering,CC-1001,Software,12415.07
2023-12-01,2023,12,Q4,Engineering,CC-1001,Software,58580.13
2024-01-01,2024,1,Q1,Engineering,CC-1001,Software,71009.83
2024-02-01,2024,2,Q1,Engineering,CC-1001,Software,61379.57
2024-03-01,2024,3,Q1,Engineering,CC-1001,Software,76174.5
2024-04-01,2024,4,Q2,Engineering,CC-1001,Software,75197.72
2024-05-01,2024,5,Q2,Engineering,CC-1001,Software,62380.96
2024-06-01,2024,6,Q2,Engineering,CC-1001,Software,70360.76
2024-07-01,2024,7,Q3,Engineering,CC-1001,Software,47798.98
2024-08-01,2024,8,Q3,Engineering,CC-1001,Software,21797.11
2024-09-01,2024,9,Q3,Engineering,CC-1001,Software,32835.15
2024-10-01,2024,10,Q4,Engineering,CC-1001,Software,5807.19
2024-11-01,2024,11,Q4,Engineering,CC-1001,Software,47833.03
2024-12-01,2024,12,Q4,Engineering,CC-1001,Software,16829.38
2025-01-01,2025,1,Q1,Engineering,CC-1001,Software,44368.15
2025-02-01,2025,2,Q1,Engineering,CC-1001,Software,71023.79
2025-03-01,2025,3,Q1,Engineering,CC-1001,Software,88639.83
2023-01-01,2023,1,Q1,Engineering,CC-1001,Utilities,14805.19
2023-02-01,2023,2,Q1,Engineering,CC-1001,Utilities,33925.99
2023-03-01,2023,3,Q1,Engineering,CC-1001,Utilities,15147.57
2023-04-01,2023,4,Q2,Engineering,CC-1001,Utilities,27537.86
2023-05-01,2023,5,Q2,Engineering,CC-1001,Utilities,10663.47
2023-06-01,2023,6,Q2,Engineering,CC-1001,Utilities,21246.26
2023-07-01,2023,7,Q3,Engineering,CC-1001,Utilities,12730.7
2023-08-01,2023,8,Q3,Engineering,CC-1001,Utilities,16455.2
2023-09-01,2023,9,Q3,Engineering,CC-1001,Utilities,16855.35
2023-10-01,2023,10,Q4,Engineering,CC-1001,Utilities,17146.68
2023-11-01,2023,11,Q4,Engineering,CC-1001,Utilities,10192.36
2023-12-01,2023,12,Q4,Engineering,CC-1001,Utilities,18796.63
2024-01-01,2024,1,Q1,Engineering,CC-1001,Utilities,34689.14
2024-02-01,2024,2,Q1,Engineering,CC-1001,Utilities,16926.54
2024-03-01,2024,3,Q1,Engineering,CC-1001,Utilities,14634.28
2024-04-01,2024,4,Q2,Engineering,CC-1001,Utilities,7639.94
2024-05-01,2024,5,Q2,Engineering,CC-1001,Utilities,24344.11
2024-06-01,2024,6,Q2,Engineering,CC-1001,Utilities,19336.85
2024-07-01,2024,7,Q3,Engineering,CC-1001,Utilities,12981.95
2024-08-01,2024,8,Q3,Engineering,CC-1001,Utilities,33973.6
2024-09-01,2024,9,Q3,Engineering,CC-1001,Utilities,27020.62
2024-10-01,2024,10,Q4,Engineering,CC-1001,Utilities,7537.2
2024-11-01,2024,11,Q4,Engineering,CC-1001,Utilities,18276.23
2024-12-01,2024,12,Q4,Engineering,CC-1001,Utilities,25498.64
2025-01-01,2025,1,Q1,Engineering,CC-1001,Utilities,26304.52
2025-02-01,2025,2,Q1,Engineering,CC-1001,Utilities,32207.91
2025-03-01,2025,3,Q1,Engineering,CC-1001,Utilities,31420.37
2023-01-01,2023,1,Q1,Engineering,CC-1001,Headcount,103.12
2023-02-01,2023,2,Q1,Engineering,CC-1001,Headcount,31.48
2023-03-01,2023,3,Q1,Engineering,CC-1001,Headcount,40.67
2023-04-01,2023,4,Q2,Engineering,CC-1001,Headcount,45.01
2023-05-01,2023,5,Q2,Engineering,CC-1001,Headcount,103.09
2023-06-01,2023,6,Q2,Engineering,CC-1001,Headcount,50.17
2023-07-01,2023,7,Q3,Engineering,CC-1001,Headcount,90.21
2023-08-01,2023,8,Q3,Engineering,CC-1001,Headcount,112.22
2023-09-01,2023,9,Q3,Engineering,CC-1001,Headcount,38.79
2023-10-01,2023,10,Q4,Engineering,CC-1001,Headcount,46.02
2023-11-01,2023,11,Q4,Engineering,CC-1001,Headcount,50.75
2023-12-01,2023,12,Q4,Engineering,CC-1001,Headcount,97.55
2024-01-01,2024,1,Q1,Engineering,CC-1001,Headcount,29.21
2024-02-01,2024,2,Q1,Engineering,CC-1001,Headcount,14.3
2024-03-01,2024,3,Q1,Engineering,CC-1001,Headcount,12.53
2024-04-01,2024,4,Q2,Engineering,CC-1001,Headcount,87.83
2024-05-01,2024,5,Q2,Engineering,CC-1001,Headcount,16.53
2024-06-01,2024,6,Q2,Engineering,CC-1001,Headcount,14.7
2024-07-01,2024,7,Q3,Engineering,CC-1001,Headcount,110.86
2024-08-01,2024,8,Q3,Engineering,CC-1001,Headcount,45.39
2024-09-01,2024,9,Q3,Engineering,CC-1001,Headcount,16.63
2024-10-01,2024,10,Q4,Engineering,CC-1001,Headcount,78.62
2024-11-01,2024,11,Q4,Engineering,CC-1001,Headcount,90.33
2024-12-01,2024,12,Q4,Engineering,CC-1001,Headcount,81.98
2025-01-01,2025,1,Q1,Engineering,CC-1001,Headcount,25.72
2025-02-01,2025,2,Q1,Engineering,CC-1001,Headcount,107.87
2025-03-01,2025,3,Q1,Engineering,CC-1001,Headcount,35.05
2023-01-01,2023,1,Q1,Sales,CC-2001,Salaries,727423.05
2023-02-01,2023,2,Q1,Sales,CC-2001,Salaries,543129.63
2023-03-01,2023,3,Q1,Sales,CC-2001,Salaries,823931.64
2023-04-01,2023,4,Q2,Sales,CC-2001,Salaries,901560.75
2023-05-01,2023,5,Q2,Sales,CC-2001,Salaries,813812.75
2023-06-01,2023,6,Q2,Sales,CC-2001,Salaries,455147.84
2023-07-01,2023,7,Q3,Sales,CC-2001,Salaries,714743.03
2023-08-01,2023,8,Q3,Sales,CC-2001,Salaries,764868.7
2023-09-01,2023,9,Q3,Sales,CC-2001,Salaries,340069.3
2023-10-01,2023,10,Q4,Sales,CC-2001,Salaries,700363.94
2023-11-01,2023,11,Q4,Sales,CC-2001,Salaries,773808.1
2023-12-01,2023,12,Q4,Sales,CC-2001,Salaries,934599.34
2024-01-01,2024,1,Q1,Sales,CC-2001,Salaries,688898.17
2024-02-01,2024,2,Q1,Sales,CC-2001,Salaries,543408.32
2024-03-01,2024,3,Q1,Sales,CC-2001,Salaries,197761.39
2024-04-01,2024,4,Q2,Sales,CC-2001,Salaries,974365.97
2024-05-01,2024,5,Q2,Sales,CC-2001,Salaries,926718.96
2024-06-01,2024,6,Q2,Sales,CC-2001,Salaries,469166.17
2024-07-01,2024,7,Q3,Sales,CC-2001,Salaries,353957.53
2024-08-01,2024,8,Q3,Sales,CC-2001,Salaries,602413.65
2024-09-01,2024,9,Q3,Sales,CC-2001,Salaries,451161.68
2024-10-01,2024,10,Q4,Sales,CC-2001,Salaries,272002.25
2024-11-01,2024,11,Q4,Sales,CC-2001,Salaries,563856.36
2024-12-01,2024,12,Q4,Sales,CC-2001,Salaries,412350.35
2025-01-01,2025,1,Q1,Sales,CC-2001,Salaries,794171.16
2025-02-01,2025,2,Q1,Sales,CC-2001,Salaries,680936.64
2025-03-01,2025,3,Q1,Sales,CC-2001,Salaries,1676872.66
2023-01-01,2023,1,Q1,Sales,CC-2001,OPEX,131119.34
2023-02-01,2023,2,Q1,Sales,CC-2001,OPEX,90407.8
2023-03-01,2023,3,Q1,Sales,CC-2001,OPEX,166382.1
2023-04-01,2023,4,Q2,Sales,CC-2001,OPEX,100215.47
2023-05-01,2023,5,Q2,Sales,CC-2001,OPEX,202702.48
2023-06-01,2023,6,Q2,Sales,CC-2001,OPEX,61481.97
2023-07-01,2023,7,Q3,Sales,CC-2001,OPEX,120713.87
2023-08-01,2023,8,Q3,Sales,CC-2001,OPEX,56853.87
2023-09-01,2023,9,Q3,Sales,CC-2001,OPEX,159480.36
2023-10-01,2023,10,Q4,Sales,CC-2001,OPEX,173001.62
2023-11-01,2023,11,Q4,Sales,CC-2001,OPEX,28961.69
2023-12-01,2023,12,Q4,Sales,CC-2001,OPEX,111665.39
2024-01-01,2024,1,Q1,Sales,CC-2001,OPEX,189386.03
2024-02-01,2024,2,Q1,Sales,CC-2001,OPEX,61537.23
2024-03-01,2024,3,Q1,Sales,CC-2001,OPEX,197121.21
2024-04-01,2024,4,Q2,Sales,CC-2001,OPEX,93139.54
2024-05-01,2024,5,Q2,Sales,CC-2001,OPEX,76451.63
2024-06-01,2024,6,Q2,Sales,CC-2001,OPEX,203119.36
2024-07-01,2024,7,Q3,Sales,CC-2001,OPEX,69907.33
2024-08-01,2024,8,Q3,Sales,CC-2001,OPEX,88443.2
2024-09-01,2024,9,Q3,Sales,CC-2001,OPEX,68253.67
2024-10-01,2024,10,Q4,Sales,CC-2001,OPEX,142822.36
2024-11-01,2024,11,Q4,Sales,CC-2001,OPEX,140410.39
2024-12-01,2024,12,Q4,Sales,CC-2001,OPEX,81801.98
2025-01-01,2025,1,Q1,Sales,CC-2001,OPEX,157495.23
2025-02-01,2025,2,Q1,Sales,CC-2001,OPEX,174567.51
2025-03-01,2025,3,Q1,Sales,CC-2001,OPEX,69130.18
2023-01-01,2023,1,Q1,Sales,CC-2001,Capex,55388.71
2023-02-01,2023,2,Q1,Sales,CC-2001,Capex,53987.13
2023-03-01,2023,3,Q1,Sales,CC-2001,Capex,96682.2
2023-04-01,2023,4,Q2,Sales,CC-2001,Capex,42364.87
2023-05-01,2023,5,Q2,Sales,CC-2001,Capex,21355.58
2023-06-01,2023,6,Q2,Sales,CC-2001,Capex,192315.71
2023-07-01,2023,7,Q3,Sales,CC-2001,Capex,117644.5
2023-08-01,2023,8,Q3,Sales,CC-2001,Capex,35344.57
2023-09-01,2023,9,Q3,Sales,CC-2001,Capex,220667.47
2023-10-01,2023,10,Q4,Sales,CC-2001,Capex,21126.27
2023-11-01,2023,11,Q4,Sales,CC-2001,Capex,29693.49
2023-12-01,2023,12,Q4,Sales,CC-2001,Capex,36248.25
2024-01-01,2024,1,Q1,Sales,CC-2001,Capex,79311.29
2024-02-01,2024,2,Q1,Sales,CC-2001,Capex,129261.1
2024-03-01,2024,3,Q1,Sales,CC-2001,Capex,68282.5
2024-04-01,2024,4,Q2,Sales,CC-2001,Capex,139933.79
2024-05-01,2024,5,Q2,Sales,CC-2001,Capex,131057.77
2024-06-01,2024,6,Q2,Sales,CC-2001,Capex,66351.83
2024-07-01,2024,7,Q3,Sales,CC-2001,Capex,134165.41
2024-08-01,2024,8,Q3,Sales,CC-2001,Capex,51713.12
2024-09-01,2024,9,Q3,Sales,CC-2001,Capex,190654.1
2024-10-01,2024,10,Q4,Sales,CC-2001,Capex,47957.35
2024-11-01,2024,11,Q4,Sales,CC-2001,Capex,121553.34
2024-12-01,2024,12,Q4,Sales,CC-2001,Capex,11872.83
2025-01-01,2025,1,Q1,Sales,CC-2001,Capex,86393.89
2025-02-01,2025,2,Q1,Sales,CC-2001,Capex,56124.24
2025-03-01,2025,3,Q1,Sales,CC-2001,Capex,22551.26
2023-01-01,2023,1,Q1,Sales,CC-2001,T&E,9450.77
2023-02-01,2023,2,Q1,Sales,CC-2001,T&E,17906.7
2023-03-01,2023,3,Q1,Sales,CC-2001,T&E,29510.94
2023-04-01,2023,4,Q2,Sales,CC-2001,T&E,34189.28
2023-05-01,2023,5,Q2,Sales,CC-2001,T&E,21692.51
2023-06-01,2023,6,Q2,Sales,CC-2001,T&E,28383.37
2023-07-01,2023,7,Q3,Sales,CC-2001,T&E,7101.92
2023-08-01,2023,8,Q3,Sales,CC-2001,T&E,24033.6
2023-09-01,2023,9,Q3,Sales,CC-2001,T&E,8175.86
2023-10-01,2023,10,Q4,Sales,CC-2001,T&E,34951.1
2023-11-01,2023,11,Q4,Sales,CC-2001,T&E,17439.78
2023-12-01,2023,12,Q4,Sales,CC-2001,T&E,17840.7
2024-01-01,2024,1,Q1,Sales,CC-2001,T&E,32159.24
2024-02-01,2024,2,Q1,Sales,CC-2001,T&E,4305.34
2024-03-01,2024,3,Q1,Sales,CC-2001,T&E,33465.88
2024-04-01,2024,4,Q2,Sales,CC-2001,T&E,30776.16
2024-05-01,2024,5,Q2,Sales,CC-2001,T&E,26132.99
2024-06-01,2024,6,Q2,Sales,CC-2001,T&E,9446.83
2024-07-01,2024,7,Q3,Sales,CC-2001,T&E,31907.74
2024-08-01,2024,8,Q3,Sales,CC-2001,T&E,21617.94
2024-09-01,2024,9,Q3,Sales,CC-2001,T&E,20780.69
2024-10-01,2024,10,Q4,Sales,CC-2001,T&E,11608.54
2024-11-01,2024,11,Q4,Sales,CC-2001,T&E,23127.0
2024-12-01,2024,12,Q4,Sales,CC-2001,T&E,11985.04
2025-01-01,2025,1,Q1,Sales,CC-2001,T&E,33509.72
2025-02-01,2025,2,Q1,Sales,CC-2001,T&E,14469.71
2025-03-01,2025,3,Q1,Sales,CC-2001,T&E,68816.81
2023-01-01,2023,1,Q1,Sales,CC-2001,Marketing Spend,136768.97
2023-02-01,2023,2,Q1,Sales,CC-2001,Marketing Spend,113818.13
2023-03-01,2023,3,Q1,Sales,CC-2001,Marketing Spend,34196.49
2023-04-01,2023,4,Q2,Sales,CC-2001,Marketing Spend,428382.24
2023-05-01,2023,5,Q2,Sales,CC-2001,Marketing Spend,202645.47
2023-06-01,2023,6,Q2,Sales,CC-2001,Marketing Spend,256861.34
2023-07-01,2023,7,Q3,Sales,CC-2001,Marketing Spend,22868.83
2023-08-01,2023,8,Q3,Sales,CC-2001,Marketing Spend,47777.17
2023-09-01,2023,9,Q3,Sales,CC-2001,Marketing Spend,77909.6
2023-10-01,2023,10,Q4,Sales,CC-2001,Marketing Spend,76972.3
2023-11-01,2023,11,Q4,Sales,CC-2001,Marketing Spend,63309.14
2023-12-01,2023,12,Q4,Sales,CC-2001,Marketing Spend,64823.65
2024-01-01,2024,1,Q1,Sales,CC-2001,Marketing Spend,152093.69
2024-02-01,2024,2,Q1,Sales,CC-2001,Marketing Spend,336420.05
2024-03-01,2024,3,Q1,Sales,CC-2001,Marketing Spend,131755.21
2024-04-01,2024,4,Q2,Sales,CC-2001,Marketing Spend,48210.31
2024-05-01,2024,5,Q2,Sales,CC-2001,Marketing Spend,173051.79
2024-06-01,2024,6,Q2,Sales,CC-2001,Marketing Spend,95642.64
2024-07-01,2024,7,Q3,Sales,CC-2001,Marketing Spend,150120.71
2024-08-01,2024,8,Q3,Sales,CC-2001,Marketing Spend,173229.07
2024-09-01,2024,9,Q3,Sales,CC-2001,Marketing Spend,216830.34
2024-10-01,2024,10,Q4,Sales,CC-2001,Marketing Spend,90702.34
2024-11-01,2024,11,Q4,Sales,CC-2001,Marketing Spend,47181.69
2024-12-01,2024,12,Q4,Sales,CC-2001,Marketing Spend,39000.76
2025-01-01,2025,1,Q1,Sales,CC-2001,Marketing Spend,118136.98
2025-02-01,2025,2,Q1,Sales,CC-2001,Marketing Spend,105529.16
2025-03-01,2025,3,Q1,Sales,CC-2001,Marketing Spend,254053.11
2023-01-01,2023,1,Q1,Sales,CC-2001,Software,27621.37
2023-02-01,2023,2,Q1,Sales,CC-2001,Software,26426.25
2023-03-01,2023,3,Q1,Sales,CC-2001,Software,60880.23
2023-04-01,2023,4,Q2,Sales,CC-2001,Software,88848.31
2023-05-01,2023,5,Q2,Sales,CC-2001,Software,55598.37
2023-06-01,2023,6,Q2,Sales,CC-2001,Software,29780.04
2023-07-01,2023,7,Q3,Sales,CC-2001,Software,39230.9
2023-08-01,2023,8,Q3,Sales,CC-2001,Software,21150.89
2023-09-01,2023,9,Q3,Sales,CC-2001,Software,61930.98
2023-10-01,2023,10,Q4,Sales,CC-2001,Software,59052.55
2023-11-01,2023,11,Q4,Sales,CC-2001,Software,28086.15
2023-12-01,2023,12,Q4,Sales,CC-2001,Software,15789.03
2024-01-01,2024,1,Q1,Sales,CC-2001,Software,20880.66
2024-02-01,2024,2,Q1,Sales,CC-2001,Software,53403.92
2024-03-01,2024,3,Q1,Sales,CC-2001,Software,38082.39
2024-04-01,2024,4,Q2,Sales,CC-2001,Software,62053.24
2024-05-01,2024,5,Q2,Sales,CC-2001,Software,25912.44
2024-06-01,2024,6,Q2,Sales,CC-2001,Software,31950.21
2024-07-01,2024,7,Q3,Sales,CC-2001,Software,68923.38
2024-08-01,2024,8,Q3,Sales,CC-2001,Software,66115.69
2024-09-01,2024,9,Q3,Sales,CC-2001,Software,25721.27
2024-10-01,2024,10,Q4,Sales,CC-2001,Software,17991.98
2024-11-01,2024,11,Q4,Sales,CC-2001,Software,20533.9
2024-12-01,2024,12,Q4,Sales,CC-2001,Software,59925.76
2025-01-01,2025,1,Q1,Sales,CC-2001,Software,17589.5
2025-02-01,2025,2,Q1,Sales,CC-2001,Software,42789.95
2025-03-01,2025,3,Q1,Sales,CC-2001,Software,53972.71
2023-01-01,2023,1,Q1,Sales,CC-2001,Utilities,19497.28
2023-02-01,2023,2,Q1,Sales,CC-2001,Utilities,9387.72
2023-03-01,2023,3,Q1,Sales,CC-2001,Utilities,14558.38
2023-04-01,2023,4,Q2,Sales,CC-2001,Utilities,18415.02
2023-05-01,2023,5,Q2,Sales,CC-2001,Utilities,29130.0
